"","x"
"1",200
"2",202.364174245121
"3",201.735152011298
"4",199.80223191604
"5",198.834868510784
"6",202.668957668893
"7",204.456274718608
"8",205.023228112083
"9",208.191418576464
"10",210.997536002572
"11",211.351697507849
"12",212.660328333615
"13",211.884943632981
"14",212.820878121755
"15",212.334258602091
"16",218.155308118575
"17",221.942159576401
"18",226.706136745097
"19",229.858320189746
"20",228.397566943423
"21",229.043299662733
"22",227.838526292414
"23",225.626547563409
"24",227.972469206178
"25",226.614758174536
"26",226.598845529083
"27",226.086814742676
"28",228.045676717653
"29",229.376650328161
"30",232.426348603742
"31",233.48527997486
"32",236.117236484044
"33",234.709317655988
"34",238.472374246788
"35",236.93816413601
"36",237.770140713883
"37",241.45259180277
"38",247.088936483283
"39",247.948875178494
"40",248.014025318946
"41",248.613896447184
"42",249.419452992322
"43",250.356853571819
"44",252.674381289111
"45",252.593500332636
"46",251.431956817428
"47",254.71173639757
"48",254.177634721932
"49",252.879923465067
"50",253.308434285191
"51",256.418328179101
"52",258.722445649825
"53",255.916779405645
"54",255.918245600955
"55",258.4848619717
"56",261.237128059342
"57",260.646363559564
"58",261.944330374623
"59",264.136223234241
"60",263.12517545259
"61",266.746599644265
"62",266.17509693007
"63",268.423277559383
"64",267.366965068943
"65",274.164433621256
"66",278.903124276919
"67",281.902623665945
"68",285.496677320706
"69",288.783977847794
"70",287.540212795812
"71",291.430688974401
"72",293.61272850005
"73",297.279447656294
"74",298.220283740243
"75",303.60880015943
"76",305.010847855097
"77",304.975230235437
"78",305.551686093079
"79",305.526079416537
"80",305.82821790016
"81",307.079635611331
"82",306.39778213155
"83",308.945800327449
"84",309.463216976936
"85",308.707668165972
"86",310.354443121545
"87",310.897400862445
"88",310.378798735537
"89",307.503727340617
"90",309.658359665568
"91",313.500839412935
"92",317.263289219337
"93",320.717255907885
"94",323.383257888146
"95",326.258543078149
"96",330.067313332495
"97",334.526798219427
"98",336.089451277964
"99",339.847938622747
"100",339.348963785566
"101",340.31075808875
"102",336.861828312983
"103",339.833685781702
"104",341.682574758627
"105",342.071173655395
"106",339.91951983316
"107",339.465044012491
"108",339.90226651163
"109",342.436251335556
"110",346.172281498582
"111",349.242817988831
"112",351.764974819579
"113",350.801716901682
"114",352.872488791435
"115",355.935665854143
"116",359.553116909727
"117",366.0663519098
"118",368.994518715562
"119",368.212253395566
"120",368.343388824508
"121",371.464217992595
"122",369.643405907295
"123",371.359029066093
"124",370.270322396598
"125",373.034505804949
"126",371.373423671563
"127",376.0698557325
"128",377.072768455511
"129",378.977220667722
"130",383.796382642934
"131",381.896548087133
"132",381.988220672089
"133",383.405441921986
"134",382.341238067202
"135",386.185681038558
"136",387.212368047799
"137",389.194521405197
"138",389.66346966911
"139",393.212629760962
"140",391.753956692143
"141",392.429735392276
"142",390.57259795787
"143",392.436283560315
"144",393.218246687822
"145",393.216523910983
"146",397.472964775793
"147",400.432092305692
"148",403.166945039695
"149",401.219746569159
"150",404.197503696186
"151",404.456965362597
"152",400.051273482003
"153",401.023229747077
"154",400.24530724744
"155",400.954213282454
"156",400.44124797668
"157",405.697813412984
"158",408.65832128932
"159",409.043039280741
"160",411.033763243232
"161",413.693616303024
"162",414.019947650696
"163",417.504489196503
"164",418.436464260967
"165",419.784735439894
"166",422.1160400242
"167",424.252068417272
"168",429.303423681233
"169",427.676699755495
"170",430.815628362961
"171",431.548056627028
"172",432.820582004842
"173",435.936425982143
"174",440.107207752684
"175",442.062867243731
"176",443.430216056397
"177",441.625642157439
"178",442.068998155553
"179",444.772479914988
"180",451.759643728733
"181",453.177854408575
"182",448.766323331864
"183",451.963544006834
"184",451.556800831562
"185",448.578740388061
"186",448.282949114373
"187",445.368219996291
"188",438.997483247703
"189",434.629935864044
"190",427.315349268299
"191",430.266753076585
"192",428.509570378032
"193",425.419239095716
"194",424.477505222992
"195",423.100559249747
"196",423.379807195313
"197",424.508437488253
"198",424.480014448336
"199",422.758569579954
"200",420.196951727141
"201",416.486638195572
"202",414.875647052557
"203",412.662047187938
"204",410.108229829769
"205",411.812945205518
"206",413.351460383428
"207",410.088557941481
"208",409.748809522192
"209",412.053988691218
"210",410.987845715275
"211",413.383027066794
"212",416.683067410357
"213",416.329425319593
"214",415.035199007271
"215",414.595595926988
"216",415.567951463595
"217",411.890692938986
"218",411.8911283465
"219",413.913979860849
"220",410.609556608052
"221",405.40922922801
"222",404.151146453443
"223",405.070094130658
"224",401.934508266348
"225",400.916787294822
"226",399.361770773279
"227",397.617148687441
"228",398.271341889784
"229",393.753302701985
"230",388.906498592014
"231",382.620170652458
"232",380.134569734011
"233",378.197115794887
"234",374.159381038075
"235",372.153131068518
"236",368.452833171619
"237",368.804024281481
"238",367.029016734268
"239",365.89824984352
"240",361.649667443229
"241",364.50326089263
"242",361.241583175091
"243",363.485274472114
"244",361.398530682474
"245",359.758845297116
"246",356.273681654321
"247",355.574118156308
"248",356.441435778022
"249",356.244475564449
"250",354.365960923998
"251",353.02608490679
"252",351.398643880591
"253",346.891988326364
"254",351.288803030119
"255",347.272706201638
"256",344.526244933835
"257",342.760020512797
"258",338.999943886707
"259",337.080496094981
"260",332.553693480952
"261",328.533413784357
"262",325.95852884702
"263",325.846513333699
"264",325.19216072744
"265",323.023260456107
"266",321.399356491078
"267",318.525898475127
"268",315.789495394838
"269",314.369464169464
"270",310.856113929691
"271",308.903622423283
"272",309.269098985713
"273",309.568989324534
"274",309.762208030481
"275",308.770303903192
"276",307.594055040609
"277",306.186418423103
"278",309.740358646248
"279",305.994511356425
"280",303.259796829833
"281",305.477520974125
"282",305.896474781088
"283",304.706612546773
"284",303.675886848459
"285",296.625192191336
"286",294.329869522885
"287",293.232831140561
"288",292.978616193157
"289",288.752712298223
"290",288.530682978102
"291",284.750116979164
"292",280.552880855461
"293",280.304449954769
"294",280.579387317566
"295",280.524153701022
"296",274.62391359457
"297",273.70411744372
"298",272.555512988394
"299",272.879213599868
"300",273.162288897879
"301",274.510514928918
"302",275.763929544357
"303",273.209547904153
"304",269.880783140598
"305",267.987856896944
"306",266.464543488084
"307",266.47245465943
"308",268.600039098409
"309",267.650125756276
"310",265.461338050466
"311",265.161438371081
"312",266.489993349173
"313",266.441099977679
"314",264.045037741172
"315",262.108871084128
"316",261.71312915487
"317",262.135297740063
"318",261.828168238928
"319",258.574370315619
"320",255.004453721616
"321",251.297895780033
"322",253.131776355425
"323",252.594906320317
"324",248.184710558739
"325",246.22593602482
"326",245.241603120735
"327",245.515781460544
"328",247.249711915883
"329",248.471635951617
"330",249.970967485934
"331",250.217998067037
"332",256.318416335316
"333",255.777801492613
"334",256.883698491821
"335",261.761261428798
"336",262.031601387632
"337",261.190783822894
"338",265.47255145191
"339",271.72872997361
"340",274.935279411661
"341",271.317900372674
"342",274.632615006246
"343",276.290721626731
"344",281.564545759314
"345",285.515277948213
"346",285.020245716763
"347",288.881460399969
"348",287.94015764959
"349",289.493040648327
"350",292.424630094803
"351",292.860147437249
"352",295.351971521088
"353",295.55522634636
"354",297.407651833432
"355",298.971042902029
"356",300.477857272573
"357",304.29442511872
"358",306.851435847178
"359",307.53805938677
"360",311.737563503635
"361",313.720785507748
"362",313.457263480807
"363",317.381431318747
"364",318.178073196809
"365",318.785243673761
"366",319.497067841286
"367",320.896084394893
"368",323.249998726234
"369",324.265894998862
"370",326.106152896756
"371",326.638551494601
"372",329.587297596242
"373",331.285711171349
"374",334.058585029312
"375",333.015763556562
"376",335.139022172377
"377",340.19735337554
"378",336.570109368869
"379",339.864820275119
"380",344.713039839692
"381",347.655810762752
"382",348.430989620675
"383",348.759525140817
"384",351.466233727418
"385",359.093816946171
"386",361.44235193936
"387",362.976459142452
"388",364.075942350453
"389",361.520147338847
"390",364.638608642535
"391",368.335915074173
"392",372.665182360775
"393",374.75623503903
"394",376.803156962616
"395",378.076820661794
"396",385.447675171278
"397",386.396024332945
"398",387.745822746368
"399",388.99996911826
"400",390.795182940985
"401",394.743073642154
"402",394.619915318301
"403",394.400889880182
"404",395.872801557667
"405",399.686910710417
"406",403.250747063734
"407",408.47210657529
"408",406.965634382314
"409",405.3167236033
"410",411.454606407816
"411",410.38484025842
"412",413.564683796389
"413",413.270786935102
"414",415.840307348651
"415",418.566899203309
"416",422.595951503118
"417",427.292559594558
"418",433.915903395448
"419",437.220580185433
"420",437.208146084166
"421",442.192244691213
"422",445.454032340788
"423",449.448165661468
"424",451.040662872103
"425",450.857173340075
"426",451.690068769679
"427",452.861849772836
"428",456.687064423963
"429",461.068301038287
"430",459.354123841947
"431",460.083044989526
"432",459.541741302179
"433",461.503459456836
"434",461.498056957991
"435",463.197651087996
"436",462.024335480081
"437",463.525649315251
"438",463.121764998115
"439",464.861906905738
"440",465.582725535108
"441",465.95857413866
"442",462.841521091056
"443",461.577886302945
"444",461.717006396273
"445",461.626037198433
"446",457.740021200041
"447",460.574590719776
"448",459.111008885037
"449",455.538174628918
"450",453.824784201778
"451",453.700854011429
"452",455.602917867088
